run,trial,stim,response,response_unmapped,subject,Fbtype,threshold,phase,correct,Fbtype_str
1,1,4,2,2,1,2,11.1,1_pre,1,unreliable
1,2,3,1,1,1,2,11.1,1_pre,1,unreliable
1,3,4,2,2,1,2,11.1,1_pre,1,unreliable
1,5,2,2,2,1,2,11.1,1_pre,1,unreliable
1,6,1,1,1,1,2,11.1,1_pre,1,unreliable
1,7,3,1,1,1,2,11.1,1_pre,1,unreliable
1,8,2,1,1,1,2,11.1,1_pre,0,unreliable
1,9,3,1,2,1,2,11.1,1_pre,1,unreliable
1,10,2,2,2,1,2,11.1,1_pre,1,unreliable
1,11,1,1,2,1,2,11.1,1_pre,1,unreliable
1,12,4,1,1,1,2,11.1,1_pre,0,unreliable
1,13,3,2,1,1,2,11.1,1_pre,0,unreliable
1,14,2,1,1,1,2,11.1,1_pre,0,unreliable
1,15,1,1,1,1,2,11.1,1_pre,1,unreliable
1,16,4,2,2,1,2,11.1,1_pre,1,unreliable
1,17,4,1,2,1,2,11.1,1_pre,0,unreliable
1,18,1,2,1,1,2,11.1,1_pre,0,unreliable
1,19,4,2,1,1,2,11.1,1_pre,1,unreliable
1,20,3,1,2,1,2,11.1,1_pre,1,unreliable
1,21,2,2,2,1,2,11.1,1_pre,1,unreliable
1,22,2,2,2,1,2,11.1,1_pre,1,unreliable
1,23,1,1,1,1,2,11.1,1_pre,1,unreliable
1,24,3,1,2,1,2,11.1,1_pre,1,unreliable
1,25,2,2,2,1,2,11.1,1_pre,1,unreliable
1,26,3,1,2,1,2,11.1,1_pre,1,unreliable
1,27,2,1,1,1,2,11.1,1_pre,0,unreliable
1,28,1,1,2,1,2,11.1,1_pre,1,unreliable
1,29,1,1,2,1,2,11.1,1_pre,1,unreliable
1,30,4,2,1,1,2,11.1,1_pre,1,unreliable
1,31,3,1,1,1,2,11.1,1_pre,1,unreliable
1,32,4,2,1,1,2,11.1,1_pre,1,unreliable
1,2,4,2,2,2,1,2.8,1_pre,1,reliable
1,3,3,2,2,2,1,2.8,1_pre,0,reliable
1,4,2,2,2,2,1,2.8,1_pre,1,reliable
1,5,2,2,2,2,1,2.8,1_pre,1,reliable
1,7,1,1,1,2,1,2.8,1_pre,1,reliable
1,8,3,1,2,2,1,2.8,1_pre,1,reliable
