Fbtype,deviation,subject,thr,condition,cv,phase,stim
2,11.1,1,11.1,Pre_int_stimpair_1,0.018698267567859,1_pre,1
2,11.1,1,11.1,Pre_int_stimpair_2,0.0794171899180049,1_pre,2
2,11.1,1,11.1,Post_int_stimpair_1,0.0686051587007423,3_post,1
2,11.1,1,11.1,Post_int_stimpair_2,0.037206370475565,3_post,2
1,2.8,2,2.8,Pre_int_stimpair_1,0.00237526258956163,1_pre,1
1,2.8,2,2.8,Pre_int_stimpair_2,0.162328563707711,1_pre,2
1,2.8,2,2.8,Post_int_stimpair_1,-0.0916985885320567,3_post,1
1,2.8,2,2.8,Post_int_stimpair_2,-0.0427274664397108,3_post,2
2,6.4,3,6.4,Pre_int_stimpair_1,0.234744634516434,1_pre,1
2,6.4,3,6.4,Pre_int_stimpair_2,0.0346241005692673,1_pre,2
2,6.4,3,6.4,Post_int_stimpair_1,-0.0521995814425895,3_post,1
2,6.4,3,6.4,Post_int_stimpair_2,-0.0745075965792646,3_post,2
1,6.6,4,6.6,Pre_int_stimpair_1,-0.018628487738842,1_pre,1
1,6.6,4,6.6,Pre_int_stimpair_2,0.0406986497844846,1_pre,2
1,6.6,4,6.6,Post_int_stimpair_1,0.0284676492397489,3_post,1
1,6.6,4,6.6,Post_int_stimpair_2,0.0781196286925555,3_post,2
2,3.05,5,3.05,Pre_int_stimpair_1,0.0898864675941658,1_pre,1
2,3.05,5,3.05,Pre_int_stimpair_2,0.0197237855620712,1_pre,2
2,3.05,5,3.05,Post_int_stimpair_1,0.0962204058366423,3_post,1
2,3.05,5,3.05,Post_int_stimpair_2,-0.0313869335618834,3_post,2
1,7.35,6,7.35,Pre_int_stimpair_1,-0.0254320823911898,1_pre,1
1,7.35,6,7.35,Pre_int_stimpair_2,0.0198719224038634,1_pre,2
1,7.35,6,7.35,Post_int_stimpair_1,0.0309417162591943,3_post,1
1,7.35,6,7.35,Post_int_stimpair_2,-0.0542705235637305,3_post,2
2,8.4,7,8.4,Pre_int_stimpair_1,0.112184440912718,1_pre,1
2,8.4,7,8.4,Pre_int_stimpair_2,-0.0196957020513588,1_pre,2
2,8.4,7,8.4,Post_int_stimpair_1,-0.0327019294256072,3_post,1
2,8.4,7,8.4,Post_int_stimpair_2,-0.0504198892209894,3_post,2
1,6.7,8,6.7,Pre_int_stimpair_1,-0.0806671795539483,1_pre,1
1,6.7,8,6.7,Pre_int_stimpair_2,0.143050408684679,1_pre,2
1,6.7,8,6.7,Post_int_stimpair_1,0.111592851190829,3_post,1
1,6.7,8,6.7,Post_int_stimpair_2,-0.0390545341780544,3_post,2
2,6.65,9,6.65,Pre_int_stimpair_1,0.0267781457007959,1_pre,1
2,6.65,9,6.65,Pre_int_stimpair_2,0.00513594841646649,1_pre,2
2,6.65,9,6.65,Post_int_stimpair_1,0.00969051362668994,3_post,1
2,6.65,9,6.65,Post_int_stimpair_2,0.0320214248953192,3_post,2
1,6.65,10,6.65,Pre_int_stimpair_1,0.0130825740764999,1_pre,1
1,6.65,10,6.65,Pre_int_stimpair_2,0.00752358951375628,1_pre,2
1,6.65,10,6.65,Post_int_stimpair_1,-0.0172668887007158,3_post,1
1,6.65,10,6.65,Post_int_stimpair_2,-0.0157839055827153,3_post,2
2,6.35,11,6.35,Pre_int_stimpair_1,0.00381033359705691,1_pre,1
2,6.35,11,6.35,Pre_int_stimpair_2,0.110890757721246,1_pre,2
2,6.35,11,6.35,Post_int_stimpair_1,0.013324838538872,3_post,1
2,6.35,11,6.35,Post_int_stimpair_2,-0.0375458075185613,3_post,2
1,5.6,12,5.6,Pre_int_stimpair_1,-0.02288606581956,1_pre,1
1,5.6,12,5.6,Pre_int_stimpair_2,-0.00700119396831951,1_pre,2
1,5.6,12,5.6,Post_int_stimpair_1,0.109338043081055,3_post,1
1,5.6,12,5.6,Post_int_stimpair_2,0.143754405015267,3_post,2
2,4.4,13,4.4,Pre_int_stimpair_1,0.0482443692224628,1_pre,1
2,4.4,13,4.4,Pre_int_stimpair_2,0.069515348973474,1_pre,2
2,4.4,13,4.4,Post_int_stimpair_1,-0.0132760715118138,3_post,1
2,4.4,13,4.4,Post_int_stimpair_2,0.0147268632583935,3_post,2
1,8.7,14,8.7,Pre_int_stimpair_1,0.0488374524500271,1_pre,1
1,8.7,14,8.7,Pre_int_stimpair_2,0.0307317586564737,1_pre,2
1,8.7,14,8.7,Post_int_stimpair_1,0.0705460108614412,3_post,1
1,8.7,14,8.7,Post_int_stimpair_2,0.049655945742071,3_post,2
2,5.7,15,5.7,Pre_int_stimpair_1,0.0500967299229748,1_pre,1
